state,participation,english,math,reading,science,composite,year,state_abbr,region
National,60,20.3,20.7,21.4,21.0,21.0,2017,NA,Unknown
Alabama,100,18.9,18.4,19.7,19.4,19.2,2017,AL,South
Alaska,65,18.7,19.8,20.4,19.9,19.8,2017,AK,West
Arizona,62,18.6,19.8,20.1,19.8,19.7,2017,AZ,West
Arkansas,100,18.9,19.0,19.7,19.5,19.4,2017,AR,South
California,31,22.5,22.7,23.1,22.2,22.8,2017,CA,West
Colorado,100,20.1,20.3,21.2,20.9,20.8,2017,CO,West
Connecticut,31,25.5,24.6,25.6,24.6,25.2,2017,CT,Northeast
Delaware,18,24.1,23.4,24.8,23.6,24.1,2017,DE,South
District of Columbia,32,24.4,23.5,24.9,23.5,24.2,2017,D.C.,Unknown
Florida,73,19.0,19.4,21.0,19.4,19.8,2017,FL,South
Georgia,55,21.0,20.9,22.0,21.3,21.4,2017,GA,South
Hawaii,90,17.8,19.2,19.2,19.3,19.0,2017,HI,West
Idaho,38,21.9,21.8,23.0,22.1,22.3,2017,ID,West
Illinois,93,21.0,21.2,21.6,21.3,21.4,2017,IL,Midwest
Indiana,35,22.0,22.4,23.2,22.3,22.6,2017,IN,Midwest
Iowa,67,21.2,21.3,22.6,22.1,21.9,2017,IA,Midwest
Kansas,73,21.1,21.3,22.3,21.7,21.7,2017,KS,Midwest
Kentucky,100,19.6,19.4,20.5,20.1,20.0,2017,KY,South
Louisiana,100,19.4,18.8,19.8,19.6,19.5,2017,LA,South
Maine,8,24.2,24.0,24.8,23.7,24.3,2017,ME,Northeast
Maryland,28,23.3,23.1,24.2,2.3,23.6,2017,MD,South
Massachusetts,29,25.4,25.3,25.9,24.7,25.4,2017,MA,Northeast
Michigan,29,24.1,23.7,24.5,23.8,24.1,2017,MI,Midwest
Minnesota,100,20.4,21.5,21.8,21.6,21.5,2017,MN,Midwest
Mississippi,100,18.2,18.1,18.8,18.8,18.6,2017,MS,South
Missouri,100,19.8,19.9,20.8,20.5,20.4,2017,MO,Midwest
Montana,100,19.0,20.2,21.0,20.5,20.3,2017,MT,West
Nebraska,84,20.9,20.9,21.9,21.5,21.4,2017,NE,Midwest
Nevada,100,16.3,18.0,18.1,18.2,17.8,2017,NV,West
New Hampshire,18,25.4,25.1,26.0,24.9,25.5,2017,NH,Northeast
New Jersey,34,23.8,23.8,24.1,23.2,23.9,2017,NJ,Northeast
New Mexico,66,18.6,19.4,20.4,20.0,19.7,2017,NM,West
New York,31,23.8,24.0,24.6,23.9,24.2,2017,NY,Northeast
North Carolina,100,17.8,19.3,19.6,19.3,19.1,2017,NC,South
North Dakota,98,19.0,20.4,20.5,20.6,20.3,2017,ND,Midwest
Ohio,75,21.2,21.6,22.5,22.0,22.0,2017,OH,Midwest
Oklahoma,100,18.5,18.8,20.1,19.6,19.4,2017,OK,South
Oregon,40,21.2,21.5,22.4,21.7,21.8,2017,OR,West
Pennsylvania,23,23.4,23.4,24.2,23.3,23.7,2017,PA,Northeast
Rhode Island,21,24.0,23.3,24.7,23.4,24.0,2017,RI,Northeast
South Carolina,100,17.5,18.6,19.1,18.9,18.7,2017,SC,South
South Dakota,80,20.7,21.5,22.3,22.0,21.8,2017,SD,Midwest
Tennessee,100,19.5,19.2,20.1,19.9,19.8,2017,TN,South
Texas,45,19.5,20.7,21.1,20.9,20.7,2017,TX,South
Utah,100,19.5,19.9,20.8,20.6,20.3,2017,UT,West
Vermont,29,23.3,23.1,24.4,23.2,23.6,2017,VT,Northeast
Virginia,29,23.5,23.3,24.6,23.5,23.8,2017,VA,South
Washington,29,20.9,21.9,22.1,22.0,21.9,2017,WA,West
West Virginia,69,20.0,19.4,21.2,20.5,20.4,2017,WV,South
Wisconsin,100,19.7,20.4,20.6,20.9,20.5,2017,WI,Midwest
Wyoming,100,19.4,19.8,20.8,20.6,20.2,2017,WY,West
