state,participation,composite,english,math,reading,science,year,state_abbr,region
Alabama,100,18.0,17.3,17.4,18.5,18.2,2024,AL,South
Alaska,14,20.4,19.3,20.0,21.4,20.4,2024,AK,West
Arizona,64,18.4,17.3,18.5,18.8,18.5,2024,AZ,West
Arkansas,93,18.8,18.3,18.1,19.2,19.1,2024,AR,South
California,4,26.5,26.9,25.6,27.3,25.8,2024,CA,West
Colorado,15,23.2,23.0,22.4,24.0,23.0,2024,CO,West
Connecticut,9,26.3,26.8,25.3,27.1,25.7,2024,CT,Northeast
Delaware,5,24.9,25.3,23.6,26.1,24.3,2024,DE,South
District of Columbia,18,26.9,27.4,25.2,28.2,26.0,2024,D.C.,Unknown
Florida,46,19.0,18.5,18.4,20.0,18.8,2024,FL,South
Georgia,30,21.6,21.0,20.8,22.5,21.5,2024,GA,South
Hawaii,53,18.8,17.6,18.6,19.4,19.1,2024,HI,West
Idaho,15,22.8,22.3,22.2,23.7,22.6,2024,ID,West
Illinois,18,24.5,24.8,23.7,25.2,24.0,2024,IL,Midwest
Indiana,13,22.8,22.1,2.5,23.7,22.5,2024,IN,Midwest
Iowa,49,21.4,20.4,20.6,22.3,21.6,2024,IA,Midwest
Kansas,73,19.9,18.9,19.4,20.6,20.1,2024,KS,Midwest
Kentucky,96,18.6,17.8,18.0,19.2,18.7,2024,KY,South
Louisiana,100,18.1,17.6,17.4,18.6,18.3,2024,LA,South
Maine,2,25.1,25.2,23.7,26.2,24.6,2024,ME,Northeast
Maryland,8,24.4,24.6,23.0,25.4,23.9,2024,MD,South
Massachusetts,9,26.5,26.6,25.6,27.3,25.8,2024,MA,Northeast
Michigan,8,24.6,24.7,23.9,25.2,24.2,2024,MI,Midwest
Minnesota,69,21.0,19.7,20.7,21.7,21.4,2024,MN,Midwest
Mississippi,100,17.8,17.2,17.4,18.2,18.0,2024,MS,South
Missouri,66,20.2,19.5,19.5,21.0,20.4,2024,MO,Midwest
Montana,94,19.3,18.0,19.0,20.1,19.5,2024,MT,West
Nebraska,94,19.4,18.6,19.1,19.8,19.6,2024,NE,Midwest
Nevada,100,17.3,16.1,17.1,17.8,17.6,2024,NV,West
New Hampshire,5,25.7,25.7,25.0,26.5,25.2,2024,NH,Northeast
New Jersey,12,24.6,24.9,23.9,25.1,24.0,2024,NJ,Northeast
New Mexico,20,19.8,18.7,19.1,20.9,20.1,2024,NM,West
New York,10,25.3,25.2,24.6,26.0,25.0,2024,NY,Northeast
North Carolina,88,18.5,17.1,18.5,19.2,18.8,2024,NC,South
North Dakota,96,19.2,17.9,19.1,19.7,19.6,2024,ND,Midwest
Ohio,82,19.4,18.2,19.2,20.0,19.7,2024,OH,Midwest
Oklahoma,94,17.9,17.0,17.3,18.6,18.2,2024,OK,South
Oregon,7,23.0,22.5,22.0,24.2,22.8,2024,OR,West
Pennsylvania,7,24.4,24.3,23.7,25.2,24.0,2024,PA,Northeast
Rhode Island,5,25.2,25.3,24.0,26.2,24.7,2024,RI,Northeast
South Carolina,40,18.9,17.8,18.5,19.6,19.1,2024,SC,South
South Dakota,58,21.5,20.5,21.2,22.2,21.7,2024,SD,Midwest
Tennessee,100,18.6,18.0,18.1,19.0,18.6,2024,TN,South
Texas,22,19.8,18.7,19.5,20.4,19.9,2024,TX,South
Utah,91,19.9,18.9,19.4,2.6,20.2,2024,UT,West
Vermont,8,23.7,23.4,22.4,25.0,23.5,2024,VT,Northeast
Virginia,9,24.6,24.6,23.5,25.7,24.3,2024,VA,South
Washington,7,24.6,24.3,23.6,25.6,24.3,2024,WA,West
West Virginia,28,20.5,20.2,19.4,21.4,20.4,2024,WV,South
Wisconsin,93,19.4,18.3,19.3,19.7,19.8,2024,WI,Midwest
Wyoming,100,19.2,18.1,18.9,20.0,19.5,2024,WY,West
